"client_code","department_code","department_name"
"MNL-SC","MSC-LOAD","MSC-LOAD CONTROLLER"
"SKPI-AF","BILLING-A&C","ACCOUNTING AND FINANCE"
"SLPI-SS","SA","SERVICE AGREEMENT"
"SLSS-SA","SLPI-SA","SAFETY AND SECURITY"
"SKPI-CA","CSO","SAFETY AND SECURITY-SERVICE AGREEMENT"
"MNL-RMP","MNL-RMP-GEO1","GEO-RMP (1ST SHFT)"
"MNL-RMP","MNL-RMP-GEO2","GEO-RMP (2ND SHFT)"
"MNL-RMP","MNL-RMP-OFF","OFFICE STAFF-ULD"
"MNL-RMP","MNL-RMP-PLS","PORTABLE LAVATORY SRVCING"
"MNL-RMP","MNL-RAMP","RAMP"
"MNL-RMP","MNL-RMP-TWNG","TOWING-BRKRIDER-GSE"
"MNL-GEM","SA","SERVICE AGREEMENT"
"MNL-GEM","QA","QUALITY ASSURANCE"
"MNL-GEM","UNDER PP & CS","TOOL ROOM & WAREHOUSING"
"SLPI-SA","MANILA PSD","MANILA PSD"
"SLPI-SA","MANILA SC","MANILA STATION CONTROL"
"SKPI-GE","GEMS-FMD","SKPI-GEMS"
"SKPI-FM","FMD-ELECTRICAL","FACILITIES AND MAINTENANCE"
"SLPI-SA","SLPI - SERVICE","SLPI - OFFICE OF THE GM"
"SKPI-HR","EID","BASE MAINTENANCE 1"
"SLPI-SA","SLPI-OSM","SLPI-OFFICE OF THE STATION MANAGER"
"MNL-GEM","MEC PM","MEC/ EQUIPMENT HANDLING UNIT"
"MNL-GEM","PP & CS","TOOL ROOM AND WAREHOUSING"
"CEB-SA","CEB-RSD","CEBU RAMP"
"MNL-CSD","MNL- IMPORT","IMPORT"
"MNL-GEM","GEMS","GEMS-HEAD"
"UA-PSD","UA-PSD","UA - PASSENGER SERVICES DIVISION"
"CEB-SA","CEB-PSD","CEBU PSD"
"MNL-GEM","T/TUG,B/CONVEYO","BASE MAINTENANCE 2 (T/TUG, B/CONVEYOR, ETC.)"
"MNL-GEM","SHOP SERVICES","BASE MAINTENANCE 3"
"MNL-GEM","MORNING SHIFT","LINE MAINTENANCE 2"
"MNL-GEM","MEC AM","MEC/ EQUIPMENT HANDLING UNIT"
"MNL-GEM","NMES","BASE MAINTENANCE 4"
"MNL-GEM","EVENING SHIFT","LINE MAINTENANCE 2"
"MNL-GEM","EID","BASE MAINTENANCE 1"
"MNL-GEM","TPW TRACTOR","LINE MAINTENANCE 1"
"SLPI-SA","MANILA GEM","MANILA GEM"
"SKPI-GE","EID","SKPI- BASE MAINTENANCE 1"
"SKPI-GE","PPS","SKPI- PRODUCTION PLANNING SECTION"
"SKPI-GE","QA","SKPI- QUALITY ASSURANCE"
"SKPI-FM","PCO","POLLUTION CONTROL"
"SKPI-FM","FMD","FACILITIES & MAINTENANCE DEPT"
"MNL-RMP","UA-RSDGEO3","UA- RAMP GEO3"
"UA-PSD","UA-MSC","UNITED AIRLINES-STATION CONTROL"
"UA-PSD","UA-RSDGEO3","UA- RAMP GEO3"
"UA-PSD","UA-RSD","UNITED AIRLINES-RAMP"
"UA-MSC","UA-MSC","UA - MANILA STATIO CONTROL"
"UA-RSD","UA-RSD","UA - RAMP SERVICES DIVISION"
"MNL-CSD","INTERNATIONAL","INTERNATIONAL"
"CEB-RMP","CEB-RMP- AM","CEB RAMP-AM SHIFT"
"CEB-RMP","CEB-RMP- MID","CEBU RAMP- MID SHIFT"
"CEB-RMP","CEBU RMP-PM","CEBU RAMP- PM SHIFT"
"CEB-STN","CEB-STN AM","CEB-STATION CONTROL AM SHIFT"
"CEB-STN","CEB-STN MID","CEB-STATION CONTROL MID SHIFT"
"CEB-STN","CEB-STN PM","CEB-STATION CONTROL PM SHIFT"
"CEB-CRG","CEB CRG AM","CEBU CARGO AM SHIFT"
"CEB-CRG","CEB CRG MID","CEBU CARGO MID SHIFT"
"CEB-CRG","CEB CRG PM","CEBU CARGO PM SHIFT"
"CEB-PSD","CEB PSD ML","CEBU PSD - MABUHAY LOUNGE"
"CEB-RMP","CEB-RMP-AM","CEBU RAMP AM SHIFT"
"CEB-RMP","CEB-RMP-MID","CEBU RAMP MID SHIFT"
"CEB-RMP","CEB-RMP-PM","CEBU RAMP PM SHIFT"
"UA-PSD","MNL-PSD","PASSENGER SERVICES DIVISION"
"CEB-RMP","CEBRMP BGESRTPM","CEBU RAMP BAGGAGE SORTING PM"
"CEB-RMP","CEBRMP BGESRTAM","CEBU RAMP BAGGAGE SORTING AM/MID"
"CEB-RMP","CEB-RMP-INFLGHT","CEBU RAMP INFLIGHT"
"CEB-RMP","CEB-RMP-MTRPOOL","CEBU RAMP MOTORPOOL"
"CEB-CRG","CEB-CRGMNR","CEBU CARGO MANAGER"
"CEB-CRG","CEB-CRGSUP","CEBU CARGO SUPERVISOR"
"MNL-GEM","MNL-GEM","MANILA GEM"
"CEB-OSM","SSD","SSD"
"CEB-EO","EOSM","EO-OSM"
"CEB-EO","EOSM (EO-OSM)","EOSM ( EXECUTIVE OFFICE MACTAN)"
"SKPI-GE","NMES","SKPI- BASE MAINTENANCE 4"
"CEB-HR","CEBU-HR","CEBU-HR MACTAN"
"SKPI-GE","MORNING SHIFT","SKPI- LINE MAINTENANCE 2"
"SLPI-SA","MANILA GEMS","MANILA GEMS"
"CEB-PSD","CEB-PSD-AM","CEB PSD AM SHIFT-COUNTER"
"CEB-PSD","CEB PSD AM","CEBU PSD AM SHIFT- BOARDING GATE"
"CEB-PSD","CEB-PSD-MID","CEB PASSENGER MID SHIFT-BOARDING GATE"
"CEB-PSD","CEB-PSD-PM","CEB PASSENGER PM SHIFT-BOARDING GATE"
"CEB-PSD","CEB-PSD-MID-CTR","CEB PASSENGER MID SHIFT-COUNTER"
"CEB-PSD","CEB-PSD-PM-CTR","CEB PASSENGER PM SHIFT-COUNTER"
"CEB-PSD","CEB-PSD-AM-CTR","CEB PSD AM SHIFT-COUNTER"
"CEB-PSD","CEB-PSD-CRO","CEB PASSENGER-CRO"
"CEB-PSD","CEB PSD LC - AM","CEBU PSD LC - AM SHIFT"
"CEB-PSD","CEB PSD LC MID","CEBU PSD LC - MID SHIFT"
"CEB-PSD","CEB PSD LC - PM","CEBU PSD LC - PM SHIFT"
"CEB-PSD","CEB-PSD-ARRIVAL","CEB-PASSENGER-ARRIVAL"
