"shift_code","description","work_hours","break_hours","in1","out1","in2","out2"
"M35","05:00PM-02:30AM","9","0.5","17:00:59","21:30:00","22:00:00","02:30:59"
"M36","05:30PM-03:00AM","9","0.5","17:30:59","22:00:00","22:30:00","03:00:59"
"M37","06:00PM-03:30AM","9","0.5","18:00:59","22:30:00","23:00:00","03:30:59"
"M38","06:30PM-04:00AM","9","0.5","18:30:59","23:00:00","23:30:00","04:00:59"
"M39","07:00PM-04:30AM","9","0.5","19:00:59","23:30:00","00:00:01","04:30:59"
"M40","07:30PM-05:00AM","9","0.5","19:30:59","00:00:01","00:30:00","05:00:59"
"M41","08:00PM-05:30AM","9","0.5","20:00:59","00:30:00","01:00:00","05:30:59"
"M42","08:30PM-06:00AM","9","0.5","20:30:59","01:00:00","01:30:00","06:00:59"
"A01","12:00AM-09:30AM","9","0.5","00:00:59","04:30:00","05:00:00","09:30:59"
"A02","12:30AM-10:00AM","9","0.5","00:30:59","05:00:00","05:30:00","10:00:59"
"FX3","FLEXI NIGHT SHIFT W/O NP","8","0","","","",""
"FX1","FLEXI W/ NIGHT PREMIUM","8","0","","","",""
"FX4","FLEXI NIGHT SHIFT W/ NP","8","0","","","",""
"FC","REQUIRED NO LOGS","8","0","","","",""
